timestamp,cycle,voltage_v,frequency_hz,power_w,thd_percent,outage,micro_outage,pre_fault,voltage_deviation,freq_deviation,voltage_out_of_tolerance,freq_out_of_tolerance,hour,is_peak_hour,is_night,outage_count,micro_outage_count,cycles_since_last_outage
2026-04-08T08:53:38.154760,29,229.23,49.528,188351.7,20.21,0,0,0,9.23,-0.472,0,0,8,0,0,0,0,29
2026-04-08T08:53:40.154547,30,204.93,51.208,182622.1,15.31,0,0,0,-15.07,1.208,0,0,8,0,0,0,0,30
2026-04-08T08:53:42.154765,31,243.99,53.002,196740.3,16.27,0,0,0,23.99,3.002,1,1,8,0,0,0,0,31
2026-04-08T08:53:44.154839,32,191.07,52.702,174602.0,14.09,0,0,0,-28.93,2.702,1,1,8,0,0,0,0,32
2026-04-08T08:53:46.154777,33,208.98,55.371,192989.0,16.02,0,0,0,-11.02,5.371,0,1,8,0,0,0,0,33
2026-04-08T08:53:48.154964,34,208.21,51.745,182204.0,12.34,0,0,0,-11.79,1.745,0,0,8,0,0,0,0,34
2026-04-08T08:53:50.154954,35,215.34,53.37,165549.7,13.47,0,0,0,-4.66,3.37,0,1,8,0,0,0,0,35
2026-04-08T08:53:52.155368,36,214.5,51.688,181152.1,14.83,0,0,0,-5.5,1.688,0,0,8,0,0,0,0,36
2026-04-08T08:53:54.154632,37,245.4,49.933,194753.5,13.1,0,0,0,25.4,-0.067,1,0,8,0,0,0,0,37
2026-04-08T08:53:56.154874,38,214.96,47.893,174977.8,14.4,0,0,0,-5.04,-2.107,0,0,8,0,0,0,0,38
2026-04-08T08:53:58.154996,39,196.86,53.525,191602.9,15.52,0,0,0,-23.14,3.525,1,1,8,0,0,0,0,39
2026-04-08T08:54:00.154848,40,219.57,53.48,195455.7,13.02,0,0,0,-0.43,3.48,0,1,8,0,0,0,0,40
2026-04-08T08:54:02.155008,41,223.51,51.169,185298.8,15.12,0,0,0,3.51,1.169,0,0,8,0,0,0,0,41
2026-04-08T08:54:04.154762,42,226.23,53.137,175599.2,14.72,0,0,0,6.23,3.137,0,1,8,0,0,0,0,42
2026-04-08T08:54:06.154961,43,209.4,50.946,192559.3,14.65,0,0,0,-10.6,0.946,0,0,8,0,0,0,0,43
2026-04-08T08:54:08.155018,44,220.52,49.864,202498.4,14.39,0,0,0,0.52,-0.136,0,0,8,0,0,0,0,44
2026-04-08T08:54:10.155026,45,197.68,48.612,178951.1,12.89,0,0,0,-22.32,-1.388,1,0,8,0,0,0,0,45
2026-04-08T08:54:12.155019,46,198.77,48.777,173396.7,13.18,0,0,0,-21.23,-1.223,0,0,8,0,0,0,0,46
2026-04-08T08:54:14.154987,47,226.69,51.028,172142.9,14.29,0,0,0,6.69,1.028,0,0,8,0,0,0,0,47
2026-04-08T08:54:16.154978,48,204.84,49.195,191676.9,14.17,0,0,0,-15.16,-0.805,0,0,8,0,0,0,0,48
2026-04-08T08:54:18.154952,49,232.99,54.608,177371.6,15.03,0,0,0,12.99,4.608,0,1,8,0,0,0,0,49
2026-04-08T08:54:20.154976,50,194.77,50.668,176321.6,14.14,0,0,0,-25.23,0.668,1,0,8,0,0,0,0,50
2026-04-08T08:54:22.154980,51,202.58,52.494,180804.9,14.54,0,0,0,-17.42,2.494,0,0,8,0,0,0,0,51
2026-04-08T08:54:24.155008,52,216.85,49.708,177807.3,15.2,0,0,0,-3.15,-0.292,0,0,8,0,0,0,0,52
2026-04-08T08:54:26.154774,53,222.49,51.274,182174.8,14.6,0,0,0,2.49,1.274,0,0,8,0,0,0,0,53
2026-04-08T08:54:28.154923,54,230.82,51.385,186098.8,16.18,0,0,0,10.82,1.385,0,0,8,0,0,0,0,54
2026-04-08T08:54:30.154984,55,221.63,48.982,196736.8,14.72,0,0,0,1.63,-1.018,0,0,8,0,0,0,0,55
2026-04-08T08:54:32.154969,56,222.96,52.743,191475.6,14.11,0,0,0,2.96,2.743,0,1,8,0,0,0,0,56
2026-04-08T08:54:34.154945,57,213.92,51.733,170126.2,14.62,0,0,0,-6.08,1.733,0,0,8,0,0,0,0,57
2026-04-08T08:54:36.154980,58,228.43,52.148,184212.8,14.87,0,0,0,8.43,2.148,0,0,8,0,0,0,0,58
2026-04-08T08:54:38.154755,59,224.28,48.782,186638.9,13.82,0,0,0,4.28,-1.218,0,0,8,0,0,0,0,59
2026-04-08T08:54:40.154996,60,236.06,56.121,179795.8,15.18,0,0,0,16.06,6.121,0,1,8,0,0,0,0,60
2026-04-08T08:54:42.155000,61,215.69,53.24,177249.3,13.86,0,0,0,-4.31,3.24,0,1,8,0,0,0,0,61
2026-04-08T08:54:44.154988,62,242.16,48.383,190695.3,15.47,0,0,0,22.16,-1.617,1,0,8,0,0,0,0,62
2026-04-08T08:54:46.154952,63,218.56,53.905,193610.3,14.3,0,0,0,-1.44,3.905,0,1,8,0,0,0,0,63
2026-04-08T08:54:48.155001,64,215.19,51.651,179243.6,13.36,0,0,0,-4.81,1.651,0,0,8,0,0,0,0,64
2026-04-08T08:54:50.154981,65,217.43,54.107,187062.2,13.66,0,0,0,-2.57,4.107,0,1,8,0,0,0,0,65
2026-04-08T08:54:52.155000,66,200.83,53.15,180191.9,14.43,0,0,0,-19.17,3.15,0,1,8,0,0,0,0,66
2026-04-08T08:54:54.154973,67,222.56,48.73,194659.3,15.18,0,0,0,2.56,-1.27,0,0,8,0,0,0,0,67
2026-04-08T08:54:56.154986,68,241.69,53.453,196744.4,15.17,0,0,0,21.69,3.453,0,1,8,0,0,0,0,68
2026-04-08T08:54:58.154960,69,215.74,51.761,172748.1,11.68,0,0,0,-4.26,1.761,0,0,8,0,0,0,0,69
2026-04-08T08:55:00.154806,70,208.74,48.938,175979.9,13.02,0,0,0,-11.26,-1.062,0,0,8,0,0,0,0,70
2026-04-08T08:55:02.155023,71,233.23,51.85,174422.2,13.34,0,0,0,13.23,1.85,0,0,8,0,0,0,0,71
2026-04-08T08:55:04.154991,72,191.36,51.397,199983.1,15.45,0,0,0,-28.64,1.397,1,0,8,0,0,0,0,72
2026-04-08T08:55:06.154983,73,195.02,53.827,171780.6,14.48,0,0,0,-24.98,3.827,1,1,8,0,0,0,0,73
2026-04-08T08:55:08.154973,74,238.21,53.24,176659.8,12.56,0,0,0,18.21,3.24,0,1,8,0,0,0,0,74
2026-04-08T08:55:10.154982,75,212.71,51.793,197084.1,15.18,0,0,0,-7.29,1.793,0,0,8,0,0,0,0,75
2026-04-08T08:55:12.154530,76,245.96,56.361,175570.3,13.86,0,0,0,25.96,6.361,1,1,8,0,0,0,0,76
2026-04-08T08:55:14.154954,77,192.96,50.013,184165.1,13.85,0,0,0,-27.04,0.013,1,0,8,0,0,0,0,77
2026-04-08T08:55:16.154984,78,205.82,49.293,185165.8,13.08,0,0,0,-14.18,-0.707,0,0,8,0,0,0,0,78
2026-04-08T08:55:18.154980,79,223.0,54.554,189243.9,14.11,0,0,0,3.0,4.554,0,1,8,0,0,0,0,79
